date,open,close,high,low,volume,money
2019-03-27,3724.41,3743.39,3750.26,3703.45,13875845400,177507528442
2019-03-28,3731.06,3728.4,3755.72,3710.08,13327212900,172604392907
2019-03-29,3739.77,3872.34,3876.38,3739.77,21563910300,283022298648
2019-04-01,3901.17,3973.93,3982.91,3901.17,27138270400,340799403573
2019-04-02,3986.34,3971.29,3988.1,3956.51,22600034100,281892057021
2019-04-03,3947.87,4022.16,4026.5,3939.78,23191736800,284826495445
2019-04-04,4039.74,4062.23,4072.11,4021.71,26041093900,313539431377
2019-04-08,4097.1,4057.23,4122.6,4017.49,26750557600,324670452522
2019-04-09,4063.81,4075.43,4084.24,4038.28,18295680800,243187913127
2019-04-10,4062.44,4085.85,4115.38,4035.47,19468761300,278282025051
2019-04-11,4083.46,3997.58,4097.12,3990.24,16904964100,236259156718
2019-04-12,3986.78,3988.62,4006.93,3961.46,13586211800,178795939061
2019-04-15,4056.49,3975.52,4085.39,3974.23,18264557100,236298721390
2019-04-16,3958.1,4085.79,4085.79,3943.49,20204196600,250569206656
2019-04-17,4080.72,4087.24,4106.62,4057.5,18036711700,228824429886
2019-04-18,4085.11,4072.08,4094.05,4056.24,14656212300,187812687766
2019-04-19,4076.3,4120.61,4120.64,4046.2,15079491000,194701690762
2019-04-22,4125.97,4025.61,4126.09,4015.47,18935374500,244380549238
2019-04-23,4021.63,4019.01,4061.09,4005.28,15561165000,204121505815
2019-04-24,4033.63,4030.09,4044.34,3967.81,14549869500,186497961651
2019-04-25,4013.6,3941.82,4022.56,3938.33,15972207100,197530997751
2019-04-26,3921.89,3889.27,3943.83,3887.25,14200806800,186572137127
2019-04-29,3896.58,3900.33,3953.23,3875.45,15387092700,203946553151
2019-04-30,3887.18,3913.21,3923.11,3885.15,11623337600,161665923923
2019-05-06,3775.08,3684.62,3791.61,3647.14,19747288200,254115400089
2019-05-07,3702.27,3720.67,3738.18,3671.83,13284765400,183659159180
2019-05-08,3648.55,3667.46,3722.93,3642.5,11286735500,145058486354
2019-05-09,3637.35,3599.7,3656.9,3584.82,10103739400,141829095759
2019-05-10,3643.06,3730.45,3732.92,3589.29,14800384700,195067170793
2019-05-13,3675.76,3668.73,3702.9,3658.0,10339186000,135053926707
2019-05-14,3630.44,3645.15,3683.26,3630.44,10231346000,135262868907
2019-05-15,3674.99,3727.09,3741.04,3674.99,11016176900,152534546781
2019-05-16,3720.04,3743.96,3745.14,3707.9,11625827400,139851940057
2019-05-17,3744.88,3648.76,3745.36,3637.58,12845324500,154092349651
2019-05-20,3635.74,3617.79,3644.5,3583.83,10896347700,134194262583
2019-05-21,3619.44,3666.78,3690.09,3610.68,11102292000,133071381088
2019-05-22,3663.15,3649.38,3679.27,3634.75,9834612800,121775244162
2019-05-23,3629.53,3583.96,3631.47,3578.11,9989778100,125611969476
2019-05-24,3584.9,3593.91,3623.39,3580.79,8093404800,101337496380
2019-05-27,3592.6,3637.2,3648.03,3556.26,10883087100,133399053907
2019-05-28,3633.02,3672.26,3683.23,3627.79,11788624000,148966334657
2019-05-29,3642.54,3663.91,3693.23,3637.35,9335544100,120002034236
2019-05-30,3648.85,3641.18,3650.97,3612.62,9420256100,112864079304
2019-05-31,3641.0,3629.79,3668.18,3627.54,8922226700,108264201339
2019-06-03,3640.61,3632.01,3672.81,3613.13,10072318000,123902446407
2019-06-04,3632.56,3598.47,3636.13,3584.46,8709709400,109467236536
2019-06-05,3627.79,3597.11,3634.45,3593.95,8864202000,114634228238
2019-06-06,3601.04,3564.68,3601.04,3557.02,8553440300,104367267723
2019-06-10,3578.01,3610.74,3623.73,3568.28,9237506100,117346608912
2019-06-11,3617.52,3719.28,3723.14,3617.52,14348280600,180899072311
2019-06-12,3706.86,3691.1,3711.88,3683.94,11917885300,132296097905
2019-06-13,3689.58,3685.39,3697.59,3654.27,9633171800,110459901917
2019-06-14,3690.48,3654.88,3709.65,3650.91,10181700400,116584260575
2019-06-17,3654.44,3654.82,3683.77,3645.5,7297667800,93092581297
2019-06-18,3661.13,3667.62,3675.65,3638.78,7069226600,89472839848
2019-06-19,3761.34,3715.94,3771.35,3715.13,12559571500,172574177791
2019-06-20,3718.94,3828.52,3845.79,3717.19,16887207300,227726981966
2019-06-21,3832.73,3833.94,3856.09,3817.31,15363515500,199961617615
2019-06-24,3836.31,3841.27,3853.55,3819.77,10008462100,143644731703
2019-06-25,3837.43,3801.31,3838.06,3755.01,12407591200,169358793347
2019-06-26,3779.51,3794.33,3809.76,3771.72,8182028300,112106859021
2019-06-27,3807.54,3834.82,3854.08,3805.83,10531635800,156483418190
